artist,title,play_count,spotify_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,timeSignature,valence
Alvvays,Adult Diversion,225,0otn0qLAM0yAXHNSiRsHwq,0.04,0.33,0.95,0.52,8,0.13,-4.36,1,0.07,177.33,4,0.47
Florist,Vacation,223,5M14yMoGygqBtJCRYmrYSY,0.85,0.62,0.27,0.13,0,0.08,-13.94,1,0.03,107.61,4,0.11
Weyes Blood,Everyday,223,2VYqgye3Wf9ySE4qYM3iJn,0.27,0.48,0.57,0,2,0.09,-7.25,1,0.03,112.98,4,0.42
Wolf Alice,Delicious Things,223,0f1bOH82cQvNNZBmmkKv4d,0.16,0.48,0.5,0.03,2,0.28,-5.61,1,0.04,121.19,4,0.28
Alvvays,Plimsoll Punks,221,1MlU2xFOo4k1gFzIRYeQ0U,0.01,0.28,0.86,0.03,0,0.28,-4.44,1,0.05,162.55,4,0.35
Snail Mail,Let's Find an Out,221,3OyChCoOtUD2PwDNgHMSLt,0.69,0.57,0.45,0,0,0.09,-9.49,0,0.03,95.97,4,0.14
Frank Ocean,Forrest Gump,220,4YZbVct8l9MnAVIROnLQdx,0.09,0.7,0.42,0,6,0.38,-7.82,0,0.03,95,4,0.19
Mitski,A Burning Hill,220,6gz3orrUlKresI8GShSkdq,0.77,0.46,0.19,0,2,0.11,-14.99,1,0.04,132.03,1,0.1
Maggie Rogers,Alaska,217,4HfLQJtVT1KiX1eVedDyTm,0.41,0.85,0.39,0,9,0.11,-10.67,0,0.05,104,4,0.18
Tame Impala,Let It Happen,217,2X485T9Z5Ly0xyaghN73ed,0,0.6,0.88,0.03,1,0.11,-5.88,0,0.04,125.01,4,0.58
Faye Webster,Better Distractions,215,3CmcswzHOACDjooV1KLULN,0.07,0.7,0.52,0.01,6,0.09,-9.54,1,0.02,96.37,4,0.57
Phoebe Bridgers,Chinese Satellite,215,1scaOnahzG7o8pfwfsL784,0.74,0.3,0.45,0.02,10,0.15,-9.93,1,0.05,120.04,4,0.36
Frank Ocean,Pretty Sweet,214,17yrCsl1Ai6CZLBmGj6d6p,0.26,0.2,0.72,0.03,0,0.3,-6.74,1,0.05,154.04,4,0.17
Faye Webster,Jonny,213,5tuBenbZ1Or9xENTyOKoGC,0.42,0.61,0.23,0.02,6,0.11,-11.99,1,0.03,79.82,3,0.27
Faye Webster,Room Temperature,212,6TPTnROcnJQXuAyRDw2qfu,0.15,0.55,0.55,0.07,7,0.1,-7.88,0,0.02,111.47,4,0.4
Frank Ocean,Close to You,212,1VZLEW5ZfcAbKZ94XQiSZF,0.19,0.86,0.66,0,5,0.15,-8.4,0,0.2,77.98,4,0.82
Frank Ocean,Solo (Reprise),211,2qtoRFCOEL1gRn5q9DJC7F,0.41,0.67,0.75,0,7,0.08,-6.81,0,0.14,80.17,4,0.61
Kendrick Lamar,Money Trees,211,2HbKqm4o0w5wEeEFXm2sD4,0.07,0.72,0.53,0,7,0.22,-7.36,1,0.12,71.99,4,0.34
Frank Ocean,Be Yourself,209,1IdZvb2XK8NmsovQlV6CPn,0.99,0.75,0.43,0,7,0.15,-11.14,1,0.49,88.41,3,0.93
Angie McMahon,Slow Mover,208,2IlGvvYuRccFNkDFbgb0LF,0.39,0.54,0.48,0,3,0.08,-7.1,1,0.04,94.94,4,0.42
Ruby Fields,Dinosaurs,205,1hzoXsNh9ktI3lIA3GHU5y,0.65,0.48,0.36,0,10,0.11,-8.78,1,0.03,153.99,4,0.18
Frank Ocean,Facebook Story,203,73D5hBkiVZkopZrmBZTBWf,0.87,0.53,0.18,0,0,0.25,-20.55,1,0.69,81.99,3,0.7
Snail Mail,Valentine,200,1RcGoniZzjY3oOatGifYK1,0,0.49,0.62,0,0,0.13,-4.87,1,0.03,129.87,4,0.17
Calvin Harris,Slide (feat. Frank Ocean & Migos),199,7tr2za8SQg2CI8EDgrdtNl,0.5,0.74,0.8,0,1,0.25,-3.3,0,0.05,104.07,4,0.51
Dominic Fike,3 Nights,198,0uI7yAKUf52Cn7y3sYyjiX,0.22,0.82,0.52,0,7,0.1,-6.59,0,0.09,151.89,4,0.88
Faye Webster,Come to Atlanta,198,1MenPeY2vhqhoKgCkUgFtc,0.08,0.61,0.59,0.72,2,0.11,-9.85,1,0.04,172.15,4,0.54
Japanese Breakfast,Be Sweet,198,0dpyzcT3RMNNSd2xKBf35I,0.01,0.65,0.88,0,2,0.32,-5.82,0,0.03,109.99,4,0.62
Alvvays,Pharmacist,197,3r2vyNnqFKr6IraCqLtoBI,0.02,0.26,0.8,0.12,2,0.39,-4.77,1,0.06,144,4,0.25
SZA,Love Galore (feat. Travis Scott),197,0q75NwOoFiARAVp4EXU4Bs,0.11,0.8,0.59,0,0,0.16,-6.2,1,0.07,135,4,0.41
Phoebe Bridgers,DVD Menu,195,0kjCtKby0lrHKmSxBa80Bq,0.91,0.21,0.09,0.88,0,0.2,-25.29,0,0.04,110.51,4,0.13
Phoebe Bridgers,Garden Song,195,5bIgzvxvlefRUCQK9JPocF,0.86,0.43,0.27,0.01,0,0.11,-16.65,1,0.15,100.26,4,0.17
Phoebe Bridgers,Punisher,194,5LJ4ig9cMvjui3li1mrNRl,0.99,0.32,0.23,0,1,0.11,-12.8,1,0.04,83.91,4,0.22
Mitski,Your Best American Girl,193,7g5qe8VITjr13RIe8uM2p6,0.02,0.36,0.26,0.01,7,0.23,-9.66,1,0.03,77.02,4,0.13
SZA,The Weekend,193,6gU9OKjOE7ghfEd55oRO57,0.24,0.4,0.37,0,8,0.13,-9.41,0,0.06,73.31,3,0.16
Frank Ocean,Futura Free,192,5k8LB57xOq8UUNVaKWSqrf,0.77,0.27,0.68,0,1,0.5,-12.36,1,0.51,83.43,4,0.2
Maggie Rogers,Say It,191,6PyZGb1rB7oLKCICWTmGYa,0.21,0.56,0.5,0.01,10,0.15,-7.18,1,0.03,84.91,4,0.25
Phoebe Bridgers,Halloween,191,2GDxR0ZGYqDQUElSQxBiNS,0.94,0.49,0.16,0.1,1,0.1,-18.74,1,0.04,122.46,4,0.37
Frank Ocean,Chanel,190,6Nle9hKrkL1wQpwNfEkxjh,0.87,0.78,0.5,0,0,0.11,-5.73,0,0.24,110.13,4,0.47
orion sun,El Camino,190,162mYXJ9IJkiM1piHkY9Ox,0.55,0.56,0.67,0.05,9,0.56,-8.86,0,0.11,86.07,4,0.17
Soccer Mommy,Your Dog,190,3BpUZB0tw4zNmG3Iw1mclL,0.12,0.65,0.67,0,11,0.17,-7.8,0,0.03,115.05,4,0.77
The Strokes,Last Nite,190,3SUusuA9jH1v6PVwtYMbdv,0.02,0.62,0.9,0,0,0.1,-5.71,1,0.03,104.06,4,0.79
Clairo,Bags,189,1wicceeNVtcnym2YjiOmyj,0.17,0.74,0.55,0.38,1,0.12,-7.69,1,0.03,105,4,0.87
Mitski,Happy,188,7dgnKNBJzEMezR4wzhPAbQ,0.16,0.6,0.51,0,4,0.11,-10.86,1,0.04,106.98,4,0.04
Tame Impala,Borderline,188,5hM5arv9KDbCHS0k9uqwjr,0.04,0.62,0.87,0,5,0.08,-3.07,0,0.04,97.96,4,0.87
Phoebe Bridgers,Savior Complex,187,5BN59BDczcpxstFKILIH0q,0.93,0.38,0.44,0.02,4,0.11,-11.88,1,0.03,129,3,0.22
Alvvays,Not My Baby,186,0LkjdguLEqOnRspW3N1aio,0.03,0.35,0.65,0.38,0,0.1,-4.33,1,0.03,150.9,4,0.16
Vince Staples,Norf Norf,186,4uQ7wYsuL0DryknoDc11Hk,0.42,0.93,0.56,0,7,0.11,-6.56,1,0.06,100.01,4,0.11
The Strokes,Someday,184,7hm4HTk9encxT0LYC0J6oI,0,0.54,0.52,0,9,0.37,-7.46,1,0.03,106.04,4,0.68
Lorde,Perfect Places,182,7ARveOiD31w2Nq0n5FsSf8,0,0.62,0.58,0,1,0.11,-5.27,0,0.05,104.41,4,0.51
Phoebe Bridgers,Graceland Too,182,1WCjhRs2WBgyeGaybCX2Po,0.87,0.45,0.34,0,10,0.12,-10.37,1,0.03,149.55,4,0.35
Frank Ocean,Provider,181,6R6ihJhRbgu7JxJKIbW57w,0.74,0.65,0.33,0,2,0.15,-11.93,1,0.28,139.89,4,0.39
Phoebe Bridgers,Moon Song,181,46RNrAkGsqWTDrv2ZPOAbx,0.87,0.34,0.24,0,1,0.11,-12.51,1,0.06,154.91,3,0.18
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,180,0RiRZpuVRbi7oqRdSMwhQY,0.53,0.76,0.52,0,2,0.07,-4.37,1,0.06,89.96,4,0.93
The Weeknd,After Hours,179,2p8IUWQDrpjuFltbdgLOag,0.08,0.67,0.57,0.01,5,0.12,-6.1,0,0.03,108.97,4,0.14
TV Girl,Lovers Rock,177,6dBUzqjtbnIa1TwYbyw5CM,0,0.56,0.87,0.01,5,0.1,-5.34,0,0.04,104.97,4,0.57
Dominic Fike,Babydoll,176,7yNf9YjeO5JXUE3JEBgnYc,0.11,0.76,0.6,0,7,0.03,-5.3,0,0.11,168.01,4,0.85
The Strokes,The Modern Age,176,1420BGhbXGkIJtbtBlfpYE,0.01,0.53,0.89,0.76,2,0.15,-6.04,1,0.03,145.97,4,0.9
Alvvays,Easy On Your Own?,175,42oq4KDYcBwAHpEkV3PuWc,0.06,0.35,0.85,0,9,0.33,-5.06,1,0.07,117.13,4,0.28
Lorde,Hard Feelings/Loveless,175,1Dp7JGFNjvg8Nk0CtMCcnr,0.03,0.49,0.45,0.01,1,0.08,-10.96,0,0.11,97.03,4,0.18
Lorde,Liability,175,6Kkt27YmFyIFrcX3QXFi2o,0.92,0.59,0.23,0,10,0.1,-11.25,0,0.13,75.67,4,0.38
The Strokes,Is This It,175,0jBE7Fn78EAvmIs3dCd6GO,0.15,0.67,0.69,0,5,0.35,-8.36,1,0.03,96.02,4,0.85
The Strokes,Hard to Explain,174,0OM9ri37LIbPc9hffwsyb1,0,0.41,0.67,0.86,7,0.09,-6.29,1,0.06,82.52,4,0.67
Snail Mail,Speaking Terms,173,1Sqf9ZH0YZoWx6CrxCKYie,0.08,0.54,0.71,0.32,4,0.12,-7.04,1,0.03,124.87,4,0.4
Men I Trust,Pines,172,7qFLFQOYcytDd4hejiREzk,0.84,0.65,0.35,0.8,6,0.11,-12.7,0,0.03,133.91,4,0.28
orion sun,Ne Me Quitte Pas (Don't Leave Me),172,2cANmEzAgjRyIJy8emEBI2,0.39,0.62,0.5,0.01,6,0.11,-5.75,1,0.03,90.03,4,0.52
The Japanese House,We Talk all the Time,172,49X4TyM1BB1Xmw4P8moJ6p,0.11,0.69,0.62,0,11,0.15,-7.12,1,0.05,90,4,0.45
Japanese Breakfast,"Kokomo, IN",171,0O4sIQ728ugLlwBVaxF8UM,0.08,0.42,0.67,0,9,0.09,-6.37,1,0.03,202.17,4,0.72
Samia,Is There Something in the Movies?,171,1n96oXchJtgq5FGyvVLrvE,0.92,0.55,0.1,0,7,0.09,-13,1,0.04,110.31,3,0.15
Anderson .Paak,King James,170,5ri4b7YQp2PWn8tl3MRYgE,0.08,0.77,0.89,0,7,0.04,-7.93,1,0.08,108.02,4,0.88
Mazzy Star,Fade Into You,170,1LzNfuep1bnAUR9skqdHCK,0.25,0.42,0.33,0,9,0.07,-13.93,1,0.03,157.14,3,0.18
The Japanese House,Maybe You're the Reason,170,5Po5YmT4RhawSeqNXx5m0o,0.11,0.62,0.76,0,5,0.3,-6.38,1,0.03,95.01,4,0.4
Wolf Alice,Smile,169,0wQKKPy050lguUxlKvHIi5,0,0.52,0.76,0.88,11,0.06,-5.24,1,0.04,93.58,4,0.34
Alvvays,Belinda Says,168,1kSMqCHHCrNwsJJXJRLEoT,0.07,0.35,0.75,0,4,0.07,-3.97,1,0.06,118.93,4,0.31
Day Wave,Potions,168,1M5eu6WDUfs6CqDOqyyzdw,0.5,0.65,0.71,0,7,0.15,-5.82,1,0.03,91.51,4,0.22
Anderson .Paak,Celebrate,167,1zlclNkERGFrCxznXOgkD3,0.05,0.7,0.76,0,0,0.66,-6.55,1,0.15,94.01,4,0.86
Anderson .Paak,Make It Better (feat. Smokey Robinson),167,4SBVWkRIMJ6WBCYPvr5Bwr,0.01,0.68,0.56,0,4,0.14,-6.02,0,0.06,178.56,4,0.55
Angie McMahon,Keeping Time,167,1YoVGZCWS72Cmg1cvSLkLH,0.04,0.69,0.71,0,0,0.1,-7.26,1,0.03,114.34,4,0.74
Car Seat Headrest,Cute Thing,167,7AppWYIm98qFOGVMbNHJSB,0.01,0.33,0.75,0.29,10,0.12,-5.16,1,0.05,114.23,4,0.27
Frank Ocean,Sweet Life,167,6MEDfjHxnVNcYmHe3mM6L2,0.23,0.48,0.56,0,11,0.08,-6.07,1,0.18,83.47,4,0.8
Car Seat Headrest,Drunk Drivers/Killer Whales,166,75hwtYcghca6YKW4i6C6fP,0.22,0.53,0.41,0,2,0.1,-7.95,1,0.04,117.08,4,0.46
Frank Ocean,Lens,166,371H6HjS4SXGbQ9IVfFUIL,0.59,0.68,0.33,0,9,0.09,-8.58,1,0.1,118.05,4,0.56
Frank Ocean,Swim Good,166,3CgZCQyuyxHRMWB9BTwmni,0,0.65,0.67,0,0,0.07,-8.18,1,0.09,160.05,4,0.71
Men I Trust,Show Me How,166,75IQVo8hqI1iwVZyvkN2VT,0.67,0.79,0.27,0.53,5,0.1,-12,1,0.04,165.99,4,0.54
Frank Ocean,Biking,165,2q0VexHJirnUPnEOhr2DxK,0.68,0.67,0.46,0,2,0.09,-7.25,1,0.19,147.98,4,0.27
Neutral Milk Hotel,In the Aeroplane Over the Sea,165,1NiAMp0CzUdG6e97VYRB1a,0.39,0.27,0.71,0,7,0.12,-5.12,1,0.03,94.16,3,0.24
Snail Mail,Golden Dream,165,57tFTt7bkxQ1vvaPy1kgSF,0,0.56,0.65,0,1,0.08,-6.9,0,0.03,117.85,4,0.38
Snail Mail,Intro,165,2SHa6zAkKFXrFEVsWQANaU,0.98,0.12,0.15,0.96,0,0.09,-12.82,1,0.03,78.46,4,0.08
Daniel Caesar,Get You (feat. Kali Uchis),163,2uP6t2J5MEwhr9rDkAAzwh,0.42,0.66,0.29,0,4,0.07,-8.53,0,0.03,74.04,4,0.36
Dave,Location (feat. Burna Boy),163,6KFWubocLBhrLs31RpEdR9,0.27,0.81,0.5,0,9,0.1,-5.97,0,0.3,109.98,4,0.55
Kanye West,Blood on the Leaves,163,42GcjriRK6srwHkfbkBqVl,0.4,0.4,0.69,0,2,0.1,-4.11,0,0.2,172.07,4,0.36
Rex Orange County,Never enough,163,2UO6VQNKdwygetKaVCe39h,0.01,0.51,0.89,0,4,0.09,-4.44,1,0.09,158.99,4,0.53
Vince Staples,Summertime,163,7GKiBHjFfvPRNqqOuRYqLB,0.04,0.45,0.59,0.85,11,0.1,-7.75,1,0.06,123.88,4,0.07
Clairo,4EVER,162,4QiYN9J1WS6lBIfScftAXA,0.05,0.75,0.59,0.01,9,0.16,-7.58,0,0.03,102.33,4,0.58
Dominic Fike,King of Everything,162,0lO1yt6M1l1OAs80M3vEfM,0.78,0.64,0.47,0.06,5,0.11,-8.1,1,0.08,167.06,4,0.57
Julien Baker,Me & My Dog,162,74uoN2UfgdUAzwVeFaRUE2,0.62,0.49,0.51,0.01,0,0.12,-8.91,1,0.02,94,4,0.19
The Weeknd,Blinding Lights,162,0VjIjW4GlUZAMYd2vXMi3b,0,0.52,0.73,0,1,0.09,-5.93,1,0.06,171,4,0.34
Daniel Caesar,We Find Love,161,5jTIePmUbBUVjJnpZeGiM3,0.85,0.51,0.36,0,5,0.11,-8.64,1,0.03,78,4,0.43
orion sun,without you (interlude),161,1EaqsXeC7J6ujhqpWksycq,0.95,0.4,0.14,0,10,0.11,-14.54,1,0.04,79.71,3,0.25
Tanukichan,Sundays,161,450GRJ9korRgA22RXUp4Uw,0.21,0.54,0.64,0,5,0.89,-9.04,1,0.22,153.01,4,0.55
Wolf Alice,Lipstick on the Glass,161,6tWHb2caC8Kuc5oBO8dHmc,0.13,0.36,0.62,0.06,7,0.11,-6.14,1,0.04,93.75,4,0.19
Snail Mail,Stick,160,2LBCSjOiVztS73s80lYefT,0.04,0.54,0.54,0,3,0.07,-5.84,1,0.03,117.9,3,0.32
The Technicolors,Space Cadet,160,6DwRQI2K03MTNULcasnhUh,0.13,0.57,0.66,0,11,0.17,-7.58,1,0.03,85.99,4,0.63
Frank Ocean,Moon River,159,41cpvQ2GyGb2BRdIRSsTqK,0.88,0.24,0.12,0,0,0.1,-13.22,1,0.03,77.35,3,0.09
Não Ao Futebol Moderno,Janeiro,159,5V6bbV9ddm799GcsLUZi3r,0.12,0.34,0.42,0.46,9,0.17,-10.32,1,0.03,173.89,4,0.27
orion sun,Coffee For Dinner,159,6DBo0LvP5Ux82vqaysDmwo,0.66,0.56,0.61,0,1,0.12,-7.2,0,0.03,96,4,0.43
The Weeknd,Scared to Live,159,4BGZF4oLbTL0pWm7C18pbv,0.13,0.5,0.5,0,0,0.09,-8.24,1,0.05,87.22,4,0.2
Clairo,Sofia,158,1zHUEIQ6yzaWBzhNCV1SGW,0.6,0.74,0.62,0,0,0.23,-9.81,1,0.04,113,4,0.64
Kendrick Lamar,Alright,158,3iVcZ5G6tvkXZkZKlMpIUs,0.07,0.8,0.77,0,7,0.08,-5.97,1,0.24,110.03,4,0.56
Lorde,Green Light,158,6ie2Bw3xLj2JcGowOlcMhb,0.02,0.59,0.72,0,2,0.09,-7.81,1,0.1,128.94,4,0.25
orion sun,pressure,158,1OIlTAjMA7YeQN80RDP9XG,0.56,0.55,0.34,0.02,6,0.11,-10.74,0,0.03,131.85,4,0.29
The Technicolors,Hologram,158,4nRE6puVL9yPUrv6VO0aso,0.71,0.65,0.56,0.64,3,0.12,-8,1,0.03,108.02,4,0.32
Wolf Alice,Safe From Heartbreak (If You Never Fall in Love),158,2z5lEb3g0FFLSqdRN0sIN9,0.81,0.16,0.43,0,3,0.46,-6.1,1,0.03,181.78,3,0.27
Samia,Big Wheel,157,6GUQaa74JUSziJ9TT29Ghg,0.57,0.55,0.51,0,5,0.11,-7.76,1,0.05,94.96,4,0.26
Tame Impala,It Is Not Meant to Be,157,3Yub3anoLj8w58TVpEXUJv,0.01,0.43,0.9,0,0,0.45,-4.68,1,0.04,102.06,4,0.46
Vampire Weekend,Flower Moon (feat. Steve Lacy),157,3ujuDsiyBLAXAB6dtNwpGu,0.53,0.73,0.76,0,9,0.15,-7.15,1,0.06,110.05,4,0.39
A Tribe Called Quest,Can I Kick It?,156,1gSDTZHemEViEBiXysrlo0,0.17,0.85,0.67,0,0,0.13,-6.55,1,0.27,96.66,4,0.74
Bumper,You Can Get It,156,18L6KppkJ3SzdM169N0Xbh,0.08,0.59,0.65,0,4,0.16,-6.62,1,0.05,97,3,0.43
Car Seat Headrest,Fill in the Blank,156,0SVvyfRMFMRJzc0L2odX20,0.01,0.34,0.83,0,9,0.06,-7.24,1,0.06,162.8,4,0.5
Daniel Caesar,Best Part (feat. H.E.R.),156,1Q7EgiMOuwDcB0PJC6AzON,0.79,0.47,0.37,0,4,0.11,-10.22,0,0.04,75.21,4,0.41
Faye Webster,Cheers,156,3ruYlsPdwqrvb6mEDcfUUP,0.09,0.61,0.37,0.36,6,0.15,-8.58,0,0.04,169.91,4,0.5
SZA,Good Days,156,4PMqSO5qyjpvzhlLI5GnID,0.5,0.44,0.66,0,1,0.69,-8.37,0,0.06,121,4,0.41
Bumper,Black Light,155,0HIoqptSi0bei1EkpZ9FNT,0.05,0.66,0.68,0.08,0,0.05,-8.71,1,0.04,90.03,4,0.61
Mitski,My Body's Made of Crushed Little Stars,155,00ZprREYIexO3pgJlPgPau,0,0.2,0.75,0,7,0.47,-8.23,1,0.06,82.35,4,0.33
Alvvays,Atop a Cake,154,6LC4cyrlOPeg2WXijaYrgj,0.33,0.28,0.84,0.51,4,0.35,-3.86,1,0.05,167.39,4,0.46
